EMPRESA,Empresa,Prefixo,Litros
27,Pernambuco,0002907,175.53
27,Pernambuco,0002908,172.379
27,Pernambuco,0002909,212.9
27,Pernambuco,0002910,163.03
27,Pernambuco,0002911,115.439
27,Pernambuco,0002912,217.18
27,Pernambuco,0002913,141.37
27,Pernambuco,0002914,194.009
27,Pernambuco,0002915,167.409
27,Pernambuco,0002916,128.06
27,Pernambuco,0002917,132.3
27,Pernambuco,0002918,142.6
27,Pernambuco,0002919,205.07
27,Pernambuco,0002920,225.81
27,Pernambuco,0002921,192.16
27,Pernambuco,0002922,175.65
27,Pernambuco,0002923,168.9
27,Pernambuco,0002924,140.21
27,Pernambuco,0002925,169.169
27,Pernambuco,0002926,119.26
27,Pernambuco,0002927,154.4
27,Pernambuco,0002928,149
27,Pernambuco,0002929,203.31
27,Pernambuco,0002930,155.74
27,Pernambuco,0002931,261.24
27,Pernambuco,0002932,140.83
27,Pernambuco,0002933,228.18
27,Pernambuco,0002934,124.209
27,Pernambuco,0002935,215.61
27,Pernambuco,0002936,153.129
27,Pernambuco,0002937,163.34
27,Pernambuco,0002938,154.95
27,Pernambuco,0002939,169.719
27,Pernambuco,0002940,173.25
27,Pernambuco,0002941,234.379
27,Pernambuco,0002942,150.889
27,Pernambuco,0002943,167.719
27,Pernambuco,0002944,188.15
27,Pernambuco,0002945,167.69
27,Pernambuco,0002946,193.919
27,Pernambuco,0002947,153.28
27,Pernambuco,0002948,165.259
27,Pernambuco,0002949,162.58
27,Pernambuco,0002950,181.54
27,Pernambuco,0002951,136.01
27,Pernambuco,0002952,153.389
27,Pernambuco,0002953,164.86
27,Pernambuco,0002954,190.45
27,Pernambuco,0002955,172.979
27,Pernambuco,0002956,212.94
27,Pernambuco,0002957,155.86
27,Pernambuco,0002958,210.219
27,Pernambuco,0002959,147.95
27,Pernambuco,0002960,188.01
27,Pernambuco,0002961,140.37
27,Pernambuco,0002962,144.95
27,Pernambuco,0002963,163.85
27,Pernambuco,0002964,158.68
27,Pernambuco,0002965,141.96
27,Pernambuco,0002966,139.7
27,Pernambuco,0002967,186.94
27,Pernambuco,0002968,153.569
27,Pernambuco,0002969,146.55
27,Pernambuco,0002970,165.68
27,Pernambuco,0002971,162.64
27,Pernambuco,0002972,187.38
27,Pernambuco,0002973,192.62
27,Pernambuco,0002974,139.84
27,Pernambuco,0002975,153.56
27,Pernambuco,0002976,209.24
27,Pernambuco,0002977,164.77
27,Pernambuco,0002978,196.05
27,Pernambuco,0002979,203.99
27,Pernambuco,0002980,184.76
21,"São Paulo",0006301,250.949
21,"São Paulo",0006303,512
21,"São Paulo",0006307,771.139
21,"São Paulo",0006311,134.77
21,"São Paulo",0006312,110.7
21,"São Paulo",0006320,54.57
21,"São Paulo",0006340,26
21,"São Paulo",0006404,247.319
27,Pernambuco,0052353,109.03
21,"São Paulo",0063001,386.74
21,"São Paulo",0063002,389.31
21,"São Paulo",0063003,380.209
21,"São Paulo",0063004,400.35
21,"São Paulo",0063005,323.92
21,"São Paulo",0063006,360.079
21,"São Paulo",0063007,324.22
21,"São Paulo",0063008,306.04
21,"São Paulo",0063009,455.6
21,"São Paulo",0063010,395.259
21,"São Paulo",0063011,252.01
21,"São Paulo",0063012,243.729
21,"São Paulo",0063013,245.72
21,"São Paulo",0063014,256.6
21,"São Paulo",0063015,321.49
21,"São Paulo",0063017,251
21,"São Paulo",0063018,217.439
21,"São Paulo",0063019,312.67
21,"São Paulo",0063020,289.759
21,"São Paulo",0063021,209.389
21,"São Paulo",0063022,238.909
21,"São Paulo",0063023,219.52
