HAS_DATA;PREFIXO;EMPRESA;HAS_QTD_LITROS;Tratando_Recalcula;Verifica_QTD_LITROS;HAS_ENCERRANTE_DEPOIS;HAS_ENCERRANTE_ANTES;Recalcula_QTD_LITROS;TANQUE;TER_DATA_ULTIMA_COMUNIC;TER_CODIGO;TER_IDENTIFICACAO_EMPRESA;BOM_CODIGO;CAR_CODIGO_ABASTECEDOR;VEI_CODIGO;VEI_OBSERVACAO;USU_CODIGO;HAS_ODOMETRO;KM_ANT;KM_PERCO
20/01/2025;0063014;21;193;107;ERRO;25192140;25192033;107;600;03/07/2025 08:00;3;2;8;null;1534;FYE-7001;null;807625;807227;398
20/01/2025;0063051;21;301;152;ERRO;20105013;20104861;152;600;03/07/2025 08:00;3;2;9;null;1627;GAU-7280;null;719651;719362;289
20/01/2025;0063197;21;38;28;ERRO;25192982;25192954;28;200;03/07/2025 08:00;3;2;8;null;1625;GGK-0476;null;513763;513763;0
20/01/2025;0063071;21;146;87;ERRO;26270659;26270571;87;600;03/07/2025 08:00;1;1;1;null;1878;EFW-0084;null;597268;597113;155
20/01/2025;0063080;21;162;124;ERRO;20104597;20104473;124;600;03/07/2025 08:00;3;2;9;null;1888;EFW-0080;null;639342;639148;194
20/01/2025;0063117;21;136;93;ERRO;26274528;26274435;93;600;03/07/2025 08:00;1;1;1;null;2106;FQX-8215;null;634242;634072;170
20/01/2025;0063118;21;155;100;ERRO;26270800;26270700;100;600;03/07/2025 08:00;1;1;1;null;2107;FQT-3771;null;696432;696233;199
20/01/2025;0063120;21;90;41;ERRO;20097456;20097415;41;600;03/07/2025 08:00;3;2;9;null;2109;FXY-8109;null;600063;600063;0
20/01/2025;0064412;21;190;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;36;2456;2243;EOC-4626;58;393861;453658;-59797
20/01/2025;0063447;21;147;113;ERRO;14562276;14562163;113;500;03/07/2025 07:59;2;3;4;null;2404;GAL-9H04;null;327137;326933;204
20/01/2025;0063639;21;88;52;ERRO;26269268;26269216;52;500;03/07/2025 08:00;1;1;1;null;2478;FRO-0027;null;295972;295840;132
20/01/2025;0063368;21;113;80;ERRO;26269065;26268985;80;500;03/07/2025 08:00;1;1;1;null;2195;EYY-9393;null;445239;445090;149
20/01/2025;0063379;21;207;147;ERRO;18504320;18504173;147;600;03/07/2025 07:59;2;3;29;null;2213;EAO-4483;null;390641;390328;313
20/01/2025;0063123;21;191;102;ERRO;26274630;26274528;102;500;03/07/2025 08:00;1;1;1;null;2446;FWY-6A50;null;582123;581899;224
20/01/2025;0063367;27;220;156;ERRO;6855248;6855092;156;600;03/07/2025 08:00;110;4;62;null;2199;EEY-5977;null;457589;457387;202
20/01/2025;0063446;21;132;102;ERRO;14564293;14564191;102;500;03/07/2025 07:59;2;3;4;null;2403;GHC-9C82;null;360421;360196;225
20/01/2025;0064464;21;165;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2421;GIT-4H37;112;293942;293768;174
20/01/2025;0063656;27;215;151;ERRO;6856721;6856570;151;500;03/07/2025 08:00;110;4;62;null;2543;GHK-6B11;null;239299;238962;337
20/01/2025;0063663;21;118;47;ERRO;18504821;18504774;47;500;03/07/2025 07:59;2;3;29;null;2550;GHN-8B56;null;211641;211490;151
20/01/2025;0063107;21;47;31;ERRO;26266338;26266307;31;600;03/07/2025 08:00;1;1;1;4114;2598;null;81;161843;161782;61
21/01/2025;0063012;21;171;66;ERRO;26281179;26281112;66;500;03/07/2025 08:00;1;1;1;null;147;FNY-1860;null;774815;774581;234
21/01/2025;0063047;21;99;47;ERRO;20112903;20112856;47;600;03/07/2025 08:00;3;2;9;null;1552;FLW-8150;null;673721;673721;0
21/01/2025;0063049;21;135;81;ERRO;26277273;26277192;81;600;03/07/2025 08:00;1;1;1;null;1554;FRE-5174;null;719510;719384;126
21/01/2025;0064157;21;131;0;ERRO;null;null;null;300;03/07/2025 07:59;109;10;36;2751;1739;GAD-2464;112;617785;617599;186
21/01/2025;0064158;21;189;0;ERRO;null;null;null;300;03/07/2025 07:59;109;10;43;2751;1737;FYB-9305;112;25760;25501;259
21/01/2025;0063038;21;242;144;ERRO;20109183;20109039;144;600;03/07/2025 08:00;3;2;9;2676;1668;FKM-2364;60;709305;709073;232
21/01/2025;0063064;21;207;142;ERRO;20115539;20115397;142;600;03/07/2025 08:00;3;2;9;null;1871;FFN-3525;null;686714;686477;237
21/01/2025;0063066;21;227;156;ERRO;20108124;20107968;156;600;03/07/2025 08:00;3;2;9;2676;1873;EFW-0067;60;673074;672817;257
21/01/2025;0064418;21;46;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;36;2751;2249;ETA-8761;112;392423;392470;-47
21/01/2025;0064264;21;143;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;2751;2307;GIE-7705;112;245187;244952;235
21/01/2025;0002942;27;0;146;ERRO;18414847;18414701;146;300;03/07/2025 07:59;5;5;14;3618;2260;null;95;295758;295758;0
21/01/2025;0063194;21;268;184;ERRO;26275628;26275443;184;600;03/07/2025 08:00;1;1;1;4114;2113;FVP-2795;81;547055;546742;313
21/01/2025;0064130;21;131;0;ERRO;null;null;null;300;03/07/2025 07:59;109;10;36;2751;1711;GJR-8712;112;596708;596539;169
21/01/2025;0064464;21;165;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2421;GIT-4H37;112;294170;293942;228
21/01/2025;0063554;21;177;104;ERRO;26282251;26282147;104;500;03/07/2025 08:00;1;1;1;null;2746;SVF-6E98;null;64620;64381;239
22/01/2025;0063007;21;128;36;ERRO;29078361;29078325;36;500;03/07/2025 08:00;1;1;31;null;640;FCI-2378;null;762469;762469;0
22/01/2025;0063585;21;191;109;ERRO;14573714;14573604;109;250;03/07/2025 07:59;2;3;4;null;722;GBU-4486;null;428441;428152;289
22/01/2025;0063504;21;69;15;ERRO;20121627;20121612;15;600;03/07/2025 08:00;3;2;9;null;50;FZA-4165;null;295968;295968;0
22/01/2025;0063219;27;65;18;ERRO;6863871;6863853;18;600;03/07/2025 08:00;110;4;62;null;1385;FFN-6694;null;739226;739226;0
22/01/2025;0063004;21;245;162;ERRO;29079437;29079275;162;600;03/07/2025 08:00;1;1;31;null;1524;FPC-1222;null;751185;750903;282
22/01/2025;0063023;21;190;74;ERRO;29074077;29074003;74;600;03/07/2025 08:00;1;1;31;4114;1543;FCK-5932;81;773393;773171;222
22/01/2025;0063234;21;215;152;ERRO;14573308;14573156;152;600;03/07/2025 07:59;2;3;4;null;2132;FWL-4188;null;609667;609373;294
22/01/2025;0064422;21;97;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2253;EZY-0189;112;391410;391260;150
22/01/2025;0064615;21;140;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2454;FMY-6B14;112;260280;260077;203
22/01/2025;0063635;27;78;55;ERRO;6865302;6865247;55;500;03/07/2025 08:00;110;4;62;null;2474;FRO-0023;null;298948;298842;106
22/01/2025;0064475;21;116;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;4118;2432;EVO-5C29;114;298615;298513;102
22/01/2025;0064300;21;145;0;ERRO;null;null;null;400;03/07/2025 07:59;109;10;36;2751;2593;null;112;138831;138628;203
22/01/2025;0064300;21;173;0;ERRO;null;null;null;400;03/07/2025 07:59;109;10;43;4118;2593;null;114;138831;138831;0
23/01/2025;0063040;21;97;28;ERRO;20129198;20129170;28;600;03/07/2025 08:00;3;2;9;null;1596;FDC-2846;null;677303;677196;107
23/01/2025;0063040;21;33;14;ERRO;20129212;20129198;14;600;03/07/2025 08:00;3;2;9;null;1596;FDC-2846;null;677303;677303;0
23/01/2025;0063015;21;85;37;ERRO;20127738;20127701;37;600;03/07/2025 08:00;3;2;9;null;1535;FOR-6115;null;609646;609646;0
23/01/2025;0064143;21;211;0;ERRO;null;null;null;300;03/07/2025 07:59;109;10;43;2751;1714;FMK-6554;112;608116;607868;248
23/01/2025;0064344;21;192;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;2751;2073;GFL-6199;112;437711;437439;272
23/01/2025;0064364;21;200;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;4118;2084;EMA-8133;114;408126;408126;0
23/01/2025;0064264;21;140;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;2751;2307;GIE-7705;112;245416;245187;229
23/01/2025;0064153;21;99;0;ERRO;null;null;null;300;03/07/2025 07:59;109;10;43;2751;1734;GCY-2698;112;648550;648550;0
23/01/2025;0064304;21;126;0;ERRO;null;null;null;300;03/07/2025 07:59;109;10;36;4118;2597;null;114;126654;126451;203
23/01/2025;0064299;21;134;0;ERRO;null;null;null;400;03/07/2025 07:59;109;10;36;4118;2592;null;114;120130;119963;167
24/01/2025;0000900;27;0;83;ERRO;2373138;2373055;83;300;03/07/2025 07:59;5;5;67;3618;410;KFI-9636;95;298980;298980;0
24/01/2025;0064344;21;213;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;2751;2073;GFL-6199;112;438627;437987;640
24/01/2025;0064320;21;172;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;2751;2040;FNK-4206;112;436465;436209;256
24/01/2025;0063478;21;162;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2435;ELI-4B52;112;289290;289033;257
24/01/2025;0064480;21;144;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2437;DVI-0H52;112;262161;261978;183
24/01/2025;0064481;21;88;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2438;EXN-8J03;112;263511;263419;92
24/01/2025;0064467;21;106;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2424;EXV-1B28;112;264990;264843;147
24/01/2025;0064624;21;160;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2463;FRO-0012;112;230836;230623;213
24/01/2025;0063479;21;57;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2436;GBU-1H03;112;274814;274733;81
24/01/2025;0064413;21;143;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2244;ERL-4099;112;454100;453898;202
24/01/2025;0064423;21;215;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2255;EEE-9560;112;410934;410628;306
24/01/2025;0064400;21;166;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2234;EPA-3284;112;362587;362319;268
24/01/2025;0064266;21;42;0;ERRO;null;null;null;600;03/07/2025 07:59;109;10;43;2751;2313;GCC-6F81;112;358070;358006;64
24/01/2025;0064473;21;85;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2430;DIL-8G59;112;309656;309520;136
24/01/2025;0063091;21;2;0;ERRO;null;null;null;500;03/07/2025 08:00;3;2;52;2696;2708;SWF-4C15;54;83365;63091;20274
24/01/2025;0063664;21;132;0;ERRO;null;null;null;500;03/07/2025 08:00;3;2;9;4124;2551;GKA-1C94;110;211954;211746;208
