Prefixo;Tipo_Frota;Empresa;Tanque
2902;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2903;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2904;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2905;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2906;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2907;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2908;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2909;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2910;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2911;BÁSICO - PE;Pernambuco;300
2912;BÁSICO - PE;Pernambuco;300
2913;BÁSICO - PE;Pernambuco;300
2914;BÁSICO - PE;Pernambuco;300
2915;BÁSICO - PE;Pernambuco;300
2916;BÁSICO - PE;Pernambuco;300
2917;BÁSICO - PE;Pernambuco;300
2918;BÁSICO - PE;Pernambuco;300
2919;BÁSICO - PE;Pernambuco;300
2920;BÁSICO - PE;Pernambuco;300
2921;BÁSICO - PE;Pernambuco;300
2922;BÁSICO - PE;Pernambuco;300
2923;BÁSICO - PE;Pernambuco;300
2924;BÁSICO - PE;Pernambuco;300
2925;BÁSICO - PE;Pernambuco;300
2926;BÁSICO - PE;Pernambuco;300
2927;BÁSICO - PE;Pernambuco;300
2928;BÁSICO - PE;Pernambuco;350
2929;BÁSICO - PE;Pernambuco;300
2930;BÁSICO - PE;Pernambuco;300
2931;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2932;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2933;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2934;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2935;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2936;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2937;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2938;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2939;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2940;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2941;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2942;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2943;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2944;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2945;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
